bucket_start_min,bucket_time,normalized_volume,avg_volume,realized_volatility,liquidity_regime,total_expected_volume_over_horizon,target_order_participation,max_participation_rate,recommended_parent_order_size,configured_parent_order_size,feasible_max_order_size,is_participation_feasible
990,16:30,0.009292522869316764,320919.18644067796,0.0010583848663277761,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
995,16:35,0.009617416093233813,332139.4406779661,0.0012102219326094266,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1000,16:40,0.00994843129401646,343571.1186440678,0.000917060789046483,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1005,16:45,0.009344089997200529,322700.0677966102,0.0013804889429235455,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1010,16:50,0.009113986314232525,314753.3898305085,0.0011475856558750698,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1015,16:55,0.009779473762859005,337736.13559322036,0.000982397811814665,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1020,17:00,0.012202700323355522,421422.76271186443,0.0016855983141597604,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1025,17:05,0.008964388541085107,309587.0,0.0010268975895482563,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1030,17:10,0.007436145527818831,256808.81355932204,0.000915906828210633,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1035,17:15,0.009799345403334237,338422.406779661,0.0013662932750813405,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1040,17:20,0.008067517948717125,278613.3898305085,0.0009813793340485253,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1045,17:25,0.008305187971057977,286821.3728813559,0.0017285357917114373,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1050,17:30,0.008867219212912936,306231.23728813557,0.0013664816273371832,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1055,17:35,0.008692476870041935,300196.4745762712,0.0019902608986269634,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1060,17:40,0.008055048727438927,278182.76271186443,0.0018754801778260491,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1065,17:45,0.007735192858864871,267136.4745762712,0.000907018573090504,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1070,17:50,0.008393293593221341,289864.1186440678,0.0009395508081835558,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1075,17:55,0.007357579176485722,254095.50847457626,0.0011642203307021416,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
